rank,name_russian,name_english,name_original,film_url,country,production_year,soviet_release_year,viewers_total,avg_ticket_price_rub,box_office_rubles
119,Шторм на суше,,,https://www.kino-teatr.ru/kino/movie/sov/8031/annot/,,1975,1976,4900000,0.46,2254000.00
120,Как утопить доктора Мрачека?,,,https://www.kino-teatr.ru/kino/movie/euro/80269/annot/,Чехословакия,1974,1976,4800000,0.46,2208000.00
121,Мужчины седеют рано,,,https://www.kino-teatr.ru/kino/movie/sov/8247/annot/,,1974,1976,4800000,0.46,2208000.00
122,Красное яблоко,,,https://www.kino-teatr.ru/kino/movie/sov/3245/annot/,,1975,1976,4800000,0.46,2208000.00
123,Темная река,,,https://www.kino-teatr.ru/kino/movie/euro/78880/annot/,Польша,1973,1976,4700000,0.46,2162000.00
124,Награды и отличия,,,https://www.kino-teatr.ru/kino/movie/euro/99527/annot/,Польша,1973,1976,4500000,0.46,2070000.00
125,Ребята с Сиреневой улицы,,,https://www.kino-teatr.ru/kino/movie/sov/5979/annot/,,1974,1976,4500000,0.46,2070000.00
126,Гадание на ромашке (киноальманах),,,https://www.kino-teatr.ru/kino/movie/sov/1321/annot/,,1977,1976,4400000,0.46,2024000.00
127,Смотреть в глаза...,,,https://www.kino-teatr.ru/kino/movie/sov/9200/annot/,,1975,1976,4300000,0.46,1978000.00
128,Канал,,,https://www.kino-teatr.ru/kino/movie/sov/8635/annot/,,1975,1976,4300000,0.46,1978000.00
129,Свадьба Лины,,,https://www.kino-teatr.ru/kino/movie/euro/46037/annot/,Норвегия,1973,1976,3900000,0.46,1794000.00
130,Огненный берег,,,https://www.kino-teatr.ru/kino/movie/sov/4655/annot/,,1973,1976,3900000,0.46,1794000.00
131,Наследник,,,https://www.kino-teatr.ru/kino/movie/sov/102231/annot/,,1975,1976,3800000,0.46,1748000.00
132,Убийство Маттеотти,,,https://www.kino-teatr.ru/kino/movie/euro/45895/annot/,Италия,1973,1976,3800000,0.46,1748000.00
133,Пётр Мартынович и годы большой жизни,,,https://www.kino-teatr.ru/kino/movie/sov/8387/annot/,,1974,1976,3800000,0.46,1748000.00
134,Концерт для двух скрипок,,,https://www.kino-teatr.ru/kino/movie/sov/3162/annot/,,1975,1976,3800000,0.46,1748000.00
135,Я - Водолаз-2,,,https://www.kino-teatr.ru/kino/movie/sov/8152/annot/,,1975,1976,3700000,0.46,1702000.00
136,Исцеление,,,https://www.kino-teatr.ru/kino/movie/euro/154728/annot/,Венгрия,1974,1976,3500000,0.46,1610000.00
137,Когда дрожит земля,,,https://www.kino-teatr.ru/kino/movie/sov/3041/annot/,,1975,1976,3500000,0.46,1610000.00
138,"Великая ночь, великий день",,,https://www.kino-teatr.ru/kino/movie/euro/155248/annot/,Чехословакия,1974,1976,3400000,0.46,1564000.00
139,Познанские соловьи,,,https://www.kino-teatr.ru/kino/movie/euro/108242/annot/,Польша,1965,1976,3400000,0.46,1564000.00
140,"Здесь, на этом перекрестке",,,https://www.kino-teatr.ru/kino/movie/sov/10898/annot/,,1974,1976,3400000,0.46,1564000.00
141,Похищение по-венгерски,,,https://www.kino-teatr.ru/kino/movie/euro/128057/annot/,Венгрия,1972,1976,3300000,0.46,1518000.00
142,"Например, Йозеф",,,https://www.kino-teatr.ru/kino/movie/euro/105034/annot/,ГДР,1974,1976,3200000,0.46,1472000.00
143,Дервиш и смерть,,,https://www.kino-teatr.ru/kino/movie/euro/61948/annot/,Югославия,1974,1976,3200000,0.46,1472000.00
144,"День, который не умрет",,,https://www.kino-teatr.ru/kino/movie/euro/89528/annot/,Чехословакия,1974,1976,3100000,0.46,1426000.00
145,Ганс и Черт,,,https://www.kino-teatr.ru/kino/movie/euro/20294/annot/,ГДР,1974,1976,3100000,0.46,1426000.00
146,Приключения Пиноккио,,,https://www.kino-teatr.ru/kino/movie/euro/18832/annot/,Италия,1972,1976,3100000,0.46,1426000.00
147,Человек из «Олимпа»,,,https://www.kino-teatr.ru/kino/movie/sov/10027/annot/,,1974,1976,3100000,0.46,1426000.00
148,Это было в Межгорье,,,https://www.kino-teatr.ru/kino/movie/sov/8104/annot/,,1975,1976,3100000,0.46,1426000.00
149,Три секретных письма,,,https://www.kino-teatr.ru/kino/movie/euro/116743/annot/,Румыния,1974,1976,2900000,0.46,1334000.00
150,Дом на окраине,,,https://www.kino-teatr.ru/kino/movie/euro/43742/annot/,Венгрия,1975,1976,2900000,0.46,1334000.00
151,Я больше не буду,,,https://www.kino-teatr.ru/kino/movie/sov/8913/annot/,,1975,1976,2900000,0.46,1334000.00
152,Лесные качели,,,https://www.kino-teatr.ru/kino/movie/sov/3456/annot/,,1975,1976,2800000,0.46,1288000.00
153,"Шарика, дорогая",,,https://www.kino-teatr.ru/kino/movie/euro/126758/annot/,Венгрия,1971,1976,2700000,0.46,1242000.00
154,Тревоги осеннего дня,,,https://www.kino-teatr.ru/kino/movie/sov/38051/annot/,,1975,1976,2700000,0.46,1242000.00
155,Кто уходит в дождь,,,https://www.kino-teatr.ru/kino/movie/euro/155163/annot/,Чехословакия,1974,1976,2600000,0.46,1196000.00
156,Капитан Микула Малый,,,https://www.kino-teatr.ru/kino/movie/euro/135670/annot/,Югославия,1974,1976,2600000,0.46,1196000.00
157,О чем не узнают трибуны,,,https://www.kino-teatr.ru/kino/movie/sov/4591/annot/,,1975,1976,2600000,0.46,1196000.00
